Fatal_1 Fatal_2 Fatal_3 Survivor_1 Survivor_2 Survivor_3
PPIP5K2 981 877 1272 1757 1510 1183
SAR1B 1334 1027 1852 693 864 424
TPPP 0 1 2 1 2 2
PDE5A 646 238 278 1445 1901 1634
OGDH 1201 908 1038 599 1025 711
R3HDM1 298 236 174 663 739 252
OLIG3 0 0 0 0 0 0
LMBRD2 367 266 400 653 789 487
WEE1 68 56 73 111 119 128
BCAT1 136 91 89 245 220 161
NEUROG3 0 0 0 0 0 0
MACROD1 0 3 1 3 1 0
C10H20orf85 0 1 0 1 1 0
GBA2 1007 826 1056 292 365 282
AKAP7 202 119 95 273 232 143
NPEPPS 2629 1968 1945 1642 1797 896
EIF2D 277 280 249 404 531 361
AKAP8 194 258 173 139 186 123
AKAP9 3161 2693 3135 5590 6010 2696
KLHL36 66 57 67 23 80 55
NFU1 124 42 61 110 88 134
TMEM170B 487 263 354 169 363 114
RRP1B 127 168 96 234 231 163
NOVA2 1 0 4 0 0 0
HSP90B1 3366 2782 3384 4597 4095 1998
MCF2L 3 6 6 7 5 8
SMC1B 6 10 9 23 1 10
TMEM132E 0 0 0 0 0 0
KLHL32 7 6 10 39 25 8
C1H1orf64 0 2 3 0 0 0
TMEM132A 54 85 122 7 9 20
TMEM132B 0 2 1 4 1 9
OVGP1 12 19 18 4 7 7
CETN1 0 0 0 0 0 0
CCL28 0 0 0 1 0 0
FAM92A1 105 55 38 89 148 68
DIO1 4 6 1 8 0 0
ZNF703 0 1 0 2 2 0
CCL20 1058 175 1690 1 0 0
CCL23 2539 1430 819 5 9 104
CCL25 0 4 0 0 0 0
CCL24 3 2 0 3 4 0
CCL26 0 0 0 0 0 0
ALPK1 5126 3479 4834 979 1417 259
ALPK2 2 3 2 5 6 0
UCK1 55 57 70 44 38 55
ZFP1 48 28 31 67 37 31
UCK2 32 20 14 63 51 79
TP53I3 18 22 25 12 26 22
CUX2 9 7 1 0 2 1
KBTBD4 508 453 480 301 305 171
CYSTM1 1241 976 1339 83 103 49
BRF1 8 14 3 3 9 9
FSIP1 4 7 2 56 51 28
DNAJC8 179 141 178 200 195 84
DNAJC9 349 299 303 350 322 268
MB 3 1 0 0 2 0
DNAJC4 5 8 2 1 3 2
DNAJC5 332 264 290 57 136 67
CAMSAP1 285 255 265 434 505 291
LIN7C 1170 852 1480 1542 1442 820
DNAJC2 503 608 716 495 452 295
DNAJC3 949 925 1499 1213 1229 559
SORT1 3037 2405 3839 1035 960 350
SLC18A2 261 123 73 57 99 33
SLC18A1 2 4 3 1 4 0
GOSR1 297 212 349 303 310 239
SLC23A3 4 2 1 1 0 0
C9H10orf2 22 17 10 41 45 23
DEAF1 30 31 28 14 21 27
RAP1B 25585 14795 20181 13715 12716 10051
RAP1A 2908 2497 2870 8341 12003 739
MAP3K7 296 200 202 563 547 273
ZNF831 11 11 12 128 121 55
ZNF830 174 195 237 98 128 120
ZNF835 0 0 0 0 0 0
ZNF837 0 0 0 0 0 1
CUEDC1 49 31 52 3 9 18
GBAS 433 340 505 393 417 292
PHAX 74 94 84 241 235 142
ATOH7 0 0 0 0 0 0
ACAT1 52 75 80 163 164 157
ATOH1 0 1 0 0 0 0
RNF152 299 64 119 133 132 82
LIMD2 877 913 948 210 359 585
RNF150 53 34 34 138 166 61
RNF151 0 0 0 0 1 1
NUGGC 13 18 4 7 26 44
ATOH8 1 1 1 0 0 0
IARS 906 966 749 1655 1603 1049
FMOD 4 3 2 0 4 3
CTF1 2 3 3 1 1 0
MECP2 650 569 440 462 440 297
MARVELD2 33 10 15 162 373 24
ZNF579 2 1 2 0 0 0
SBSPON 0 0 0 0 0 0
ZPBP 20 8 9 33 16 36
IFRD2 46 53 27 21 64 157
IL2RA 3781 1408 3752 24 29 61
IL2RB 35 59 22 48 124 104
SLC17A8 2 6 5 1 1 1
TPCN1 312 268 368 69 82 64
RAB33B 889 586 890 556 420 369
SLC17A4 67 15 2 1 1 0
ZFYVE28 0 0 0 0 0 0
SPAG16 29 21 14 109 56 150
SLC17A3 27 7 5 1 2 4
UBFD1 75 81 102 165 215 90
TRPV3 0 0 0 0 0 0
CDK5RAP2 719 639 598 1105 946 648
CDK5RAP3 230 262 275 154 226 168
CDK5RAP1 80 89 87 114 116 83
PDDC1 4 5 2 1 4 12
TMEM175 8 2 1 0 3 7
MYF5 0 1 0 0 0 0
SMCO2 0 0 2 0 2 0
ERC2 3 3 1 2 4 0
CHMP4C 1 0 1 0 0 0
BAX 205 150 158 26 52 44
BAD 3 1 0 0 0 4
CTSK 1602 632 773 358 474 317
BHMT2 1 1 1 1 0 0
ZNF780A 163 163 210 234 141 155
CTSL 793 350 305 86 133 16
COBLL1 27 19 8 42 61 34
SLC37A2 467 391 229 303 478 257
SLC37A3 71 81 102 84 83 48
SLC37A1 132 99 108 30 87 96
TOB1 130 126 232 285 312 189
MYOD1 0 0 0 0 0 0
PMPCA 91 106 100 128 168 146
CDK12 3532 3356 5174 1188 1266 616
CDK13 1545 1514 1800 1862 1795 942
C4H6orf165 191 143 288 455 325 222
CDK16 366 381 246 65 99 42
SULF2 246 305 205 383 237 218
CDK15 0 0 0 1 1 0
ST5 14 19 5 7 8 13
NEO1 6 12 4 16 11 1
GZF1 1623 1315 2116 372 319 186
ATP6V1B1 1 1 1 0 0 0
NOS1AP 12 15 5 5 0 5
PIP5KL1 0 4 0 2 0 2
SATB2 9 1 10 0 1 4
ZNF304 391 345 268 252 215 156
BFSP2 0 0 1 0 0 0
FAM216B 210 164 198 43 42 7
FAM216A 31 20 16 61 107 42
MMP28 0 0 0 0 2 1
STS 139 141 160 55 56 68
MMP25 914 950 776 30 53 16
MMP24 41 64 57 8 20 16
MMP27 1 5 2 0 0 0
MMP26 0 1 0 0 0 0
MTERFD3 53 41 40 127 115 69
MMP20 1 4 2 0 0 2
MTERFD1 128 147 115 125 178 44
HOXB13 0 0 0 0 0 0
POSTN 0 2 1 0 1 0
HVCN1 58 42 59 110 136 255
TOMM34 119 80 96 34 24 26
PIH1D1 444 409 258 175 321 298
RND2 2 1 1 1 0 0
RND3 15 17 2 4 8 0
NCL 0 0 0 0 0 0
PPP1R8 234 209 298 472 454 323
CTNNBIP1 7 14 10 3 5 18
TMEM171 5 2 3 3 5 10
PPP3CA 1147 824 1140 1092 1028 569
DCAF10 1420 1022 1571 525 530 265
LIF 23 13 21 0 1 2
NCF1 3349 2665 4383 65 218 126
LRRC41 103 74 94 49 55 36
LRRC40 487 357 455 524 583 236
LRRC43 5 10 4 1 5 11
LRRC42 292 221 196 72 62 42
LRRC45 3 9 3 2 10 16
MMP23B 0 0 0 0 0 0
LRRC47 94 98 167 71 86 54
LRRC48 3 9 7 2 12 7
FGFR4 7 14 4 0 0 0
B3GNT4 25 28 14 0 7 6
B3GNT5 710 489 1033 5 13 4
B3GNT6 0 0 0 0 0 0
B3GNT7 0 7 6 1 2 9
FNDC8 0 2 1 0 0 0
B3GNT2 1917 1348 1902 1060 994 742
B3GNT3 1 2 1 5 1 2
FNDC5 2 5 2 2 0 0
FNDC7 10 13 10 1 3 0
B3GNT8 16 31 35 0 4 7
FNDC1 3 4 2 0 0 0
ADRA2B 0 0 0 0 0 0
GPATCH3 195 273 285 50 102 78
TEX26 2 1 2 0 0 0
PWWP2B 39 19 44 5 21 7
C20H16orf87 114 136 217 122 123 56
PWWP2A 288 248 513 250 290 227
FGFR1 23 30 29 4 4 29
TEX28 5 0 1 0 0 0
GINM1 550 555 509 391 1035 398
PCYT1A 80 101 103 24 26 25
DAAM1 701 361 393 463 470 234
DAAM2 5 1 12 2 1 3
CCDC152 3 0 0 12 26 20
CCDC153 6 0 4 4 0 0
YIF1B 51 44 28 5 16 50
CCDC157 2 6 3 0 3 0
YIF1A 18 13 15 13 23 36
CCDC158 6 5 2 2 13 0
WRAP73 70 68 52 19 29 30
CDCA8 61 79 112 31 87 24
SYT8 3 0 0 0 0 0
TLR10 130 156 249 305 150 772
LRRC4B 0 0 0 0 0 0
ACR 0 0 1 0 0 0
SYT1 1 1 0 0 0 0
SYT2 7 3 2 2 2 0
SYT3 0 1 0 1 0 0
SYT4 2 0 0 3 6 15
SYT6 0 2 0 1 0 0
SYT7 0 1 0 0 0 0
CXCL9 3 1 2 9 8 3
RHO 1 1 0 0 0 0
ATP5O 0 0 1 0 0 1
MEP1A 3 0 0 0 0 0
MEP1B 2 1 3 2 0 0
TASP1 44 71 57 174 174 119
PER3 60 55 43 108 106 50
FUBP3 180 188 213 217 244 174
SCHIP1 171 68 34 182 150 285
SPZ1 3 1 1 0 0 0
CEP104 109 101 113 156 175 121
FAM189A1 2 3 0 1 1 3
MARCO 118 44 55 0 0 1
SAP30 30 11 16 23 46 23
HFE 31 25 50 22 63 32
TCP11L2 2496 2263 3893 2363 1273 1095
CLEC5A 1338 437 555 7 24 19
GNAI3 3160 2265 4451 1461 1365 845
CNTROB 90 69 76 70 89 112
ANGPT1 461 110 211 408 188 418
ANGPT4 1 0 2 0 0 0
PALM3 0 1 0 1 1 0
DUPD1 0 1 0 0 0 0
MANSC4 5 3 1 2 1 0
PRRX1 0 2 0 1 0 0
MANSC1 92 273 256 35 28 10
LXN 66 64 94 72 131 33
GPR6 0 0 0 1 0 0
C8H8orf37 24 33 21 44 53 23
ATG4B 125 89 82 56 70 69
PF4V1 294 75 56 267 369 1021
EME1 32 18 25 26 31 8
FCF1 124 78 154 89 84 28
MPZL1 891 741 968 507 389 231
ATP6V0A4 1 6 1 0 1 0
MRPS34 15 15 8 4 14 29
KRT75 1 1 1 2 1 0
KRT74 1 1 1 0 0 0
SMCR7L 1552 1984 2664 233 266 156
KRT73 0 2 0 0 0 0
ATM 1667 1165 1259 10820 7224 5931
KRT79 2 1 3 1 1 0
KRT78 0 0 2 0 0 0
MRPS30 99 92 46 248 256 127
SMPD1 104 119 96 33 67 33
HAAO 7 11 0 4 23 11
SMPD2 223 263 315 89 92 130
BRIP1 151 132 258 373 434 122
PDE11A 1 1 1 3 0 0
ITGBL1 0 1 2 2 0 0
PHOX2B 0 2 0 0 0 0
ATP5A1 2507 2067 2441 3974 4974 2739
HFE2 0 6 3 3 0 0
HSPA12A 3 0 0 1 0 0
TTC28 39 33 17 83 79 88
AAMP 222 139 180 146 252 205
HYPK 94 124 103 70 172 183
TTC24 5 3 2 0 2 6
TTC25 8 15 10 2 1 0
PATL2 150 106 56 11 5 9
TTC22 4 8 14 4 3 6
PATL1 2979 3302 2905 296 256 95
CARS 919 796 1060 181 284 184
PODXL2 40 7 0 4 1 11
U2SURP 2501 2804 3735 2508 2189 1312
IL6R 659 864 1275 270 531 333
ENO1 5506 5112 7191 2463 3710 2873
ENO2 91 133 52 243 207 116
ENO4 2 2 0 8 20 2
CELF6 1563 1919 2016 456 685 403
CARF 100 75 73 203 181 112
NPAT 1005 681 802 1637 1551 989
TAOK2 251 170 194 124 196 217
SYCP1 0 4 0 0 0 0
CNOT6L 2845 1782 2195 5350 4106 2319
NDUFS1 980 722 1139 1207 1273 563
LLGL2 2 5 3 2 2 21
LLGL1 23 20 17 2 3 27
TNKS1BP1 13 15 17 6 18 10
SLC22A17 3 7 3 2 2 0
SLC22A15 614 612 275 340 449 204
SLC22A12 1 2 0 0 0 0
SLC22A13 26 26 8 2 8 3
SLC22A11 0 0 0 0 0 0
NIPAL1 68 393 38 32 23 7
NSMCE1 527 598 698 119 191 107
NSMCE2 352 339 492 244 315 132
CFD 2 2 0 3 4 21
OBSCN 5 3 0 1 1 2
RBM11 18 61 5 55 38 46
PTK7 12 8 2 4 9 16
TBXA2R 23 31 3 14 7 20
RABGAP1 1093 871 1028 939 830 522
PRKAA2 0 1 2 2 1 0
PRKAA1 592 342 640 838 861 477
ITGB3BP 57 23 25 177 312 90
RCSD1 927 767 1054 407 611 569
SORBS1 106 87 75 135 122 69
GAL3ST2 0 0 0 0 0 0
GAL3ST4 2 13 4 13 5 6
SCARA3 2 2 1 0 2 0
IL18RAP 1216 770 2525 67 146 14
IL17RD 26 19 24 43 54 44
ATG16L1 767 1167 1060 501 423 399
ARHGDIG 0 1 0 0 0 0
AGRN 138 192 123 1 0 0
ARHGDIB 1065 1221 1024 1642 2034 1188
MTHFS 264 164 356 28 29 35
NANP 67 84 83 80 77 21
IL17REL 1 3 1 0 0 0
MATN1 7 11 2 0 0 0
MATN3 2 1 1 1 0 0
MATN2 5 2 2 2 5 2
MATN4 0 1 0 0 0 0
TANC1 162 135 120 427 344 188
NIPAL4 106 107 35 3 3 7
TANC2 110 114 64 27 38 19
EBF2 0 1 0 4 0 0
EBF1 6 27 8 52 30 121
FFAR2 418 410 1435 39 16 7
FFAR3 13 11 12 2 3 2
UCP2 267 429 105 366 659 244
BDH2 116 79 40 190 146 113
ENDOV 3 2 3 1 1 2
FFAR4 1 0 0 2 10 3
BDH1 79 44 49 34 65 54
DDX23 538 515 594 670 831 574
DDX21 1420 1427 1728 1927 2292 1010
IL17RB 11 23 17 10 7 2
ZNF155 6 7 6 24 22 1
DDX28 71 62 72 65 64 54
TSNAX 526 409 681 748 772 525
ZNF91 26 41 33 75 24 50
PTHLH 1 1 0 1 0 0
ZNF689 17 13 11 3 9 6
SAC3D1 17 11 16 2 8 7
FLVCR1 94 76 81 156 158 127
FKBP15 4662 5342 5629 1780 2159 892
UBE2J1 1896 1528 2417 758 722 527
FKBP10 0 4 3 0 1 6
FKBP11 36 37 44 31 29 28
TBX21 18 16 8 148 172 147
A3GALT2 1 3 0 0 1 0
FBXO10 263 243 218 97 198 159
FAM3D 0 0 0 0 0 0
FBXO15 1 3 1 2 4 0
PCK1 1 4 7 1 0 11
GGPS1 623 432 636 813 987 398
SFTA2 0 0 1 0 0 0
SIGLECL1 2 1 0 0 0 0
HAMP 1 1 8 0 1 0
FUNDC1 3 3 5 2 1 2
PARD6G 0 2 0 2 3 0
TRUB1 71 35 33 292 245 176
TRUB2 78 50 26 65 133 85
KCNF1 0 0 0 0 0 0
PARD6A 3 1 1 0 0 0
PLA2G7 38 2 8 402 647 371
PLA2G5 2 0 5 2 1 0
PLA2G3 0 1 0 1 0 0
GDPGP1 23 16 43 12 31 20
CCDC77 115 79 117 270 823 114
ST8SIA5 6 1 0 3 10 9
CCDC73 5 13 7 28 16 2
PEX26 303 151 178 77 122 102
CCDC71 46 35 39 10 26 40
FPR1 4584 2814 3871 308 692 36
FPR2 2924 1474 6079 24 65 83
FPR3 0 268 467 140 192 297
CCDC78 4 0 2 0 5 5
CGRRF1 136 76 93 147 110 129
TMEM109 203 252 145 141 254 137
TMEM108 0 2 1 4 1 0
NENF 100 37 32 44 74 68
GFI1B 53 45 13 10 20 30
TMEM102 9 3 1 5 6 9
TMEM101 65 54 45 48 132 171
TMEM107 49 53 69 33 47 30
TMEM104 77 74 60 11 19 18
SMPDL3B 13 14 28 0 1 0
SPEN 5185 5252 6269 2623 2419 1170
ZCWPW2 5 3 5 3 6 9
FKBP1B 10 11 5 13 12 26
NPPA 1 1 1 0 0 0
STAT6 3823 3293 3666 1284 1963 1463
OSGIN1 45 24 46 1 2 3
RIN1 2 1 3 0 0 4
STOML1 16 14 21 1 2 5
SLC15A3 1039 1058 1480 93 218 209
RIN2 600 286 855 54 29 35
TIMM8B 1 6 5 6 2 4
NT5M 11 3 3 5 17 1
NT5C 17 16 14 20 23 65
TBATA 0 0 1 0 0 0
NT5E 1381 259 702 12 18 23
RHCG 0 1 1 0 0 0
ZNF431 163 261 246 252 199 94
UNC50 385 360 635 245 268 136
NKAIN4 0 0 0 0 0 0
NKAIN2 1 1 2 0 0 0
INMT 2 0 0 0 0 0
MAP1A 184 69 73 62 115 14
PDCL2 2 0 0 2 0 0
LBX2 0 0 1 0 0 0
UNC5C 0 4 1 3 0 0
VGF 1 0 0 0 0 0
LBX1 0 0 0 0 0 0
UNC5D 64 43 149 2 4 0
CCM2 468 452 397 218 293 344
GJD4 0 0 0 0 0 0
MAP1S 111 95 98 5 14 14
FRMD8 26 22 27 7 9 38
CCP110 249 244 296 291 263 135
IMMP1L 49 43 57 145 229 165
FRMD5 7 10 5 3 2 5
FRMD7 24 32 31 8 9 7
FRMD1 0 0 0 0 0 0
PKNOX2 1 3 4 0 1 0
FRMD3 2 2 4 9 10 0
PTCD2 87 59 87 86 105 55
GNAZ 456 115 71 127 134 149
PTCD1 32 40 43 26 40 39
HLTF 161 95 134 641 480 457
AGFG2 0 0 0 0 0 0
DPF2 531 369 447 180 256 162
DPF3 2 0 0 2 0 2
ASNA1 181 217 181 43 100 64
PLEKHH3 3 2 1 0 2 0
KRT3 0 1 0 2 0 0
KRT2 0 0 0 4 2 0
KRT1 0 1 1 1 0 0
FST 2 10 1 1 0 0
CRYGN 1 0 0 0 0 0
KRT4 0 0 1 0 0 0
CRYGA 0 1 0 1 0 0
CRYGB 0 0 1 1 0 0
CRYGC 0 0 0 0 0 0
DACT2 0 0 0 0 0 0
RRNAD1 83 75 71 41 52 122
VPS41 403 462 787 920 956 770
ESRP2 5 23 3 32 22 18
RPS14 2987 2331 2070 5739 8085 12291
SLC15A4 1606 1355 1776 1099 1774 705
TMCC1 880 699 676 442 458 281
TMCC2 616 217 705 78 140 108
TMEM155 0 1 0 27 22 22
SDR42E2 0 1 0 0 0 0
SDR42E1 1 5 2 14 7 6
CNPY4 103 86 70 78 92 65
C16H17orf96 0 0 1 0 0 0
C16H17orf98 0 0 0 1 0 0
NMNAT1 29 18 19 17 24 26
ALOX12B 0 1 0 0 0 0
EPB41L1 27 24 12 5 1 4
EPB41L2 189 155 198 386 330 292
EPB41L5 27 15 14 54 36 32
ACSS2 1184 1011 2018 112 161 98
ACSS1 158 164 123 286 400 327
PLEKHM1 358 528 522 17 55 24
PLEKHM2 806 924 929 100 148 271
PLEKHM3 1258 974 1442 271 308 125
VPS4B 2239 1614 2747 1411 1607 903
GMEB2 84 85 64 18 34 23
GMEB1 164 146 166 54 79 31
SLC43A3 2336 2475 3165 197 394 173
SLC43A2 739 943 1296 104 234 132
SLC43A1 101 87 33 32 57 14
FRMD4A 271 401 317 170 419 62
GSTM3 35 10 10 9 20 86
DFNA5 14 6 8 18 20 30
RRP36 475 471 653 275 263 216
WNT3 1 1 0 0 6 0
WNT1 0 0 0 0 0 0
LRRN4 0 0 2 0 0 0
AGXT 0 1 0 0 0 0
UPK1A 0 0 0 0 0 0
LRRN1 7 3 0 15 8 0
WNT4 7 17 6 2 8 0
PPP1R15A 8955 7676 8433 327 525 381
BLMH 197 176 138 394 437 192
ST8SIA6 1 0 0 2 1 0
ODF1 0 0 1 1 0 0
DCAF17 49 39 49 179 222 107
RIPK4 1 0 0 2 1 2
RECK 51 30 24 72 68 83
ST8SIA4 2964 1848 3221 2046 2182 1427
CRISPLD2 1557 524 347 59 114 63
GPRIN2 4 5 0 2 5 10
GPRIN3 253 305 222 295 298 37
GPRIN1 1 0 2 0 1 0
MRPL34 9 4 2 0 1 1
CCDC149 43 5 44 92 143 26
INSR 529 696 634 68 116 59
RUNX1T1 1 9 0 10 81 0
SPTBN5 4 7 1 2 1 3
SPTBN4 27 13 15 4 7 8
LTN1 2583 2403 3521 2643 1960 1494
SPTBN2 5 2 1 3 4 3
KLF12 149 124 73 902 749 268
KLF11 739 1148 1343 61 106 25
KLF10 4858 4501 9416 829 1198 374
RNF170 134 86 142 90 115 51
KLF15 0 1 0 1 3 11
KLF14 0 0 0 0 0 0
TFAP2A 0 0 0 0 0 0
UCP3 1 4 1 3 4 11
TFAP2C 0 2 1 4 0 0
TFAP2E 1 2 0 0 3 0
TFAP2D 1 0 0 0 1 0
KRTDAP 0 0 1 0 1 0
MCCD1 3 2 1 0 0 1
RIMKLB 10 10 1 6 3 1
DLC1 32 30 26 8 2 3
PCNA 439 285 403 533 636 387
SLC44A1 259 166 363 631 550 449
SLC44A2 859 752 817 486 551 367
SLC44A4 3 10 2 1 0 0
SLC44A5 6 2 4 12 3 0
ZBTB7C 0 2 1 0 2 0
ZBTB7B 361 317 280 22 48 71
MSI2 71 89 59 100 88 80
MSI1 0 1 0 0 0 0
VDR 103 128 95 15 18 19
PCNX 2420 2159 2394 2259 1791 1311
CYYR1 20 10 14 0 0 0
ENGASE 13 15 7 7 13 11
PACRG 0 0 0 0 0 0
FEZF2 0 0 0 0 1 0
FAM69B 4 1 2 0 3 4
TOP3A 599 667 776 218 387 194
RPA1 514 343 455 759 1285 339
RPA2 417 398 421 405 299 304
FAM92B 0 0 0 0 0 0
NDUFS4 91 54 75 112 179 104
WT1 2 3 2 1 1 0
SLC9A3R2 3 6 1 0 1 1
C1S 66 101 119 1 6 0
COQ7 4 2 0 5 14 5
COQ6 123 128 122 103 117 49
UFD1L 606 561 785 286 311 199
ILF3 1094 1082 1161 865 912 607
FAM198A 1 0 2 1 3 0
FAM198B 6 0 0 264 292 217
KLK6 0 1 2 2 0 0
ZRANB3 98 69 63 300 328 213
ZRANB2 1557 1136 2169 1362 1020 674
TTC7B 438 355 633 161 148 100
BHLHE22 0 0 0 0 0 0
FAM132A 0 0 0 0 0 0
FAM132B 121 79 34 10 12 17
CHMP2B 1246 978 1172 552 531 363
KLK8 0 0 0 0 0 0
CHMP2A 573 631 767 101 195 104
ATP9B 2582 2286 3062 3678 6241 2775
ATP9A 1956 1594 2665 155 134 47
BOC 2 4 0 1 8 14
RREB1 555 688 677 132 219 164
DENND2D 787 756 1144 683 615 452
WWC3 106 141 84 157 177 155
WWC1 7 0 4 14 9 3
INPP4A 660 646 698 1251 1165 570
MICAL1 815 1468 1227 106 131 134
MICAL2 149 113 63 480 738 422
MICAL3 19 42 31 3 0 11
PHC2 719 830 811 106 209 216
GPR108 699 568 748 65 155 199
STAT3 5877 4905 6370 1723 2208 1088
PIANP 6 17 9 0 2 2
ZNF362 30 34 16 39 29 55
GRXCR1 5 1 4 1 0 0
ZNF367 38 53 37 27 45 25
EMC10 112 117 59 60 125 99
DCP2 1637 1551 1690 1554 1757 744
PRF1 159 137 47 398 886 276
MGMT 7 12 3 9 12 67
TSSC4 70 119 88 8 21 50
TRNP1 0 0 0 1 0 0
KCTD21 0 0 0 0 0 0
MFAP5 2 3 0 2 3 0
ALS2CR11 6 1 4 4 1 0
SLC35E4 1 0 1 0 3 1
RNF8 480 326 479 192 297 132
RNF7 966 810 1334 275 321 206
RNF4 362 347 482 265 341 169
RNF5 359 178 316 280 345 291
RFX6 1 0 1 3 1 0
TNFRSF9 2 5 0 3 1 0
ZFHX3 10 22 14 73 94 67
NCAPG2 223 160 229 279 353 144
AKT3 911 576 881 2548 2072 1735
RHBDL2 3 6 9 6 1 0
DUSP11 786 514 729 668 626 466
ZNF845 142 193 148 145 79 106
PPP1R26 15 10 19 6 23 15
CLTA 459 457 518 377 755 391
PPP1R21 455 455 523 421 436 226
TMEM59L 0 0 1 0 0 0
LRRC66 0 0 2 3 0 0
ADRBK2 475 260 556 965 1238 764
DPEP3 3 10 1 7 3 24
IPMK 641 341 497 735 950 356
HEPHL1 1 4 1 4 1 5
HARS 41 37 41 41 50 23
IBA57 11 11 16 4 8 20
HSD17B14 1 0 0 0 0 0
PCOLCE 2 2 2 0 0 0
ISCA1 2855 1748 1786 26560 19893 6806
NUP210L 58 73 84 27 40 14
ISCA2 72 44 103 74 72 40
FAM118A 72 77 54 97 76 87
LMX1A 2 2 0 10 1 0
AK9 8 5 2 16 10 0
ZCCHC24 33 28 20 12 31 19
LMX1B 0 0 0 0 0 0
MISP 0 0 1 0 0 0
IL23R 4 5 4 17 83 9
PYDC2 0 0 0 1 0 0
POU4F3 0 0 0 0 0 0
KCP 1 2 2 0 2 0
BRWD3 2439 1984 2008 1347 1213 546
ACTR8 334 377 564 276 227 164
BAIAP3 4 15 6 5 4 8
ACTR6 100 64 84 217 237 179
NUDT11 0 0 0 4 6 3
CD300E 9 4 0 30 18 6
ACTR3 14426 13305 28939 9691 10186 5950
MALSU1 35 42 34 36 46 33
FAM47A 0 0 0 0 0 0
KRT83 0 0 0 1 0 0
YY1 560 441 447 469 418 235
VAX2 0 0 0 0 0 0
VAX1 0 1 0 0 0 0
RECQL4 0 1 0 3 5 2
CST9L 0 0 1 0 0 0
WBSCR28 0 0 0 0 0 0
FOXP1 979 1020 865 1322 1232 828
GNRHR 6 0 0 1 1 16
GPR55 0 0 1 4 3 9
SPINK14 0 0 0 1 0 0
HYDIN 119 72 97 17 21 0
CNR1 1 4 0 4 1 0
GBX1 0 0 0 0 0 0
CNR2 56 25 26 39 24 131
MYRIP 12 9 6 8 4 1
GP1BA 209 98 30 16 27 43
CLDND2 2 3 5 0 1 0
HM13 641 537 601 124 190 100
RAPGEFL1 6 6 5 1 0 0
GTDC1 932 781 1084 751 671 330
ALDH18A1 168 100 91 303 407 268
NPR1 33 28 29 0 1 0
TUFT1 120 163 286 7 19 19
ICOS 66 68 71 245 131 99
HHEX 70 71 128 70 85 109
TBR1 0 3 2 1 0 0
TGS1 684 747 981 791 762 392
ANKS1A 283 265 307 115 175 101
IDUA 13 18 4 7 2 4
PTPRR 3 1 1 4 0 0
YTHDF3 3718 3071 6132 949 991 444
SPERT 0 1 0 1 0 0
ACTRT2 0 1 0 0 1 0
TINF2 624 641 750 234 259 221
IGSF3 11 13 21 2 2 0
PITPNM1 92 117 126 83 97 121
NKX3-2 0 0 0 0 0 0
NKX3-1 91 72 133 15 10 18
NAP1L5 6 8 4 0 3 0
ZIM3 0 1 1 3 4 0
CPED1 31 84 21 388 18 150
MDGA1 4 2 4 0 1 0
POGLUT1 289 257 352 434 340 189
ADAM12 5 5 3 17 35 11
ADAM15 614 395 508 35 110 117
ADAM19 660 698 280 246 247 373
ERI3 71 46 31 81 116 91
CPNE9 5 13 3 3 0 0
MEPE 0 1 0 1 0 2
CPNE3 3169 1734 3405 1398 1657 826
CPNE2 80 61 48 18 27 19
CPNE5 15 12 32 1 2 1
CPNE4 50 165 228 0 0 0
WNT8A 0 3 0 0 1 0
WNT8B 0 1 0 0 0 0
PYCARD 733 569 865 103 383 263
PTPRB 216 67 55 25 4 0
OPALIN 2 0 1 1 0 0
DNMT3A 149 124 119 155 147 157
DNMT3L 1 6 0 0 2 6
AAK1 876 989 933 359 306 83
GDE1 700 498 577 457 571 292
SNRPB 362 316 359 182 281 378
SNRPC 22 21 33 19 28 19
SNRPF 17 23 36 30 42 16
FAM101A 0 0 0 0 0 0
MYOZ1 0 1 0 0 1 0
AFMID 8 3 6 5 8 11
HOXA3 6 9 10 5 2 0
SLC16A4 40 57 35 36 22 4
RGS9BP 1 0 0 1 1 0
PLAC8L1 1 1 0 3 4 2
MAST3 513 447 306 39 38 37
PLCB1 163 83 122 408 750 332
SALL1 0 0 0 0 1 0
PTPRH 4 4 2 1 3 0
ZDHHC15 9 3 7 35 29 38
ZDHHC14 632 595 695 63 128 82
ZDHHC12 12 18 16 4 11 10
PCSK1 2 4 0 1 0 0
PCSK6 296 147 83 167 184 127
ZDHHC18 3570 4085 4206 112 147 58
HIPK2 613 750 734 174 221 118
HIPK1 4295 3672 4564 5017 4709 2767
PHYHIPL 1 2 0 1 1 0
DUSP22 30 46 26 79 83 103
CACNA1A 28 57 45 12 7 5
DUSP26 1 1 1 0 0 0
CD180 63 62 17 1362 1119 731
NCAN 0 2 5 0 1 0
YBX2 1 0 1 0 1 0
TKT 4880 3901 3896 593 1476 578
NAPG 604 319 361 464 363 296
ESPL1 529 300 288 28 49 36
NAPA 2887 2428 2551 265 506 320
LARP1 499 524 646 320 359 148
LARP4 1005 891 1222 1742 2214 919
LARP6 5 1 1 1 1 1
LARP7 312 300 233 429 379 227
ISM2 1 1 3 2 0 2
ISM1 4 4 7 8 3 9
RAB9B 10 2 0 42 18 0
ZNF552 157 221 139 64 57 49
DDX49 38 41 73 12 31 67
COL15A1 23 4 8 16 11 3
ZNF175 189 118 170 142 25 58
